"","Departement","Latitude.la.plus.au.nord","Latitude.la.plus.au.sud","Longitude.la.plus.a.l.est","Longitude.la.plus.a.l.ouest","X","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"39","40",44.532195517275,43.487949116697,0.13672631290526,-1.524870110434,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"40","41",48.132548568904,47.18622172903,2.2478931361182,0.58052041667909,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
"41","42",46.275936357353,45.232177394436,4.7604638818845,3.6906909501902,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"42","43",45.427582294546,44.743866105932,4.489606977621,3.0822533822787,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"43","44",47.833557723029,46.860078088448,-0.94643916329696,-2.5589448655806,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","45",48.344598562828,47.482968445146,3.1284487900515,1.5129691249084,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"45","46",45.046275852749,44.204018679795,2.2108934010391,0.98177646477517,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"46","47",44.764390535693,43.973860568873,1.0779367166615,-0.14068987994571,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
"47","48",44.971408091786,44.113818175271,3.9981617468281,2.981675726654,NA,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"48","49",47.809992506553,46.969397597368,0.23453049018557,-1.3541992398083,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"49","50",49.725557927402,48.458282754255,-0.73732101904671,-1.9472733176655,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","51",49.406179032892,48.516108006569,5.0379027924329,3.398657955437,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","52",48.688711618117,47.576950536437,5.8908642780035,4.6268310932286,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"52","53",48.567994064435,47.733379704738,-0.049909790963035,-1.238247803597,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"53","54",49.562644003065,48.349889737943,7.1231636635608,5.429907860027,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"54","55",49.617086785829,48.410687855212,5.8541770017029,4.8885820531146,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"55","56",48.210884763611,47.283069445657,-2.0357552590146,-3.7321436369252,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","57",49.510019040716,48.52694525177,7.6352815933424,5.8934039932125,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","58",47.587958865747,46.651760006926,4.2306617272065,2.8451871650071,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
